holder,avg_hold_time_days,num_tokens,label
0x0000000000009703ecd0ffea3143fc9096de91b0,2.4089285714285715,7,Swing Trader
0x0000000000015b23c7e20b0ea5ebd84c39dcbe60,28.95247299382716,3,Collector
0x000000000077cdff30a1b5d7c12f3587f921e519,18.339583333333334,1,Collector
0x0000000000adead599c11a0c9a7475b67852c1d0,3.315972222222222,11,Swing Trader
0x00000000b3daca9d0452fd19b121e6484def1140,28.75787326388889,16,Collector
0x00000003dff73965674dbcc9dfcec53e1789ed50,5.798333333333333,1,Swing Trader
0x0000000a1770e1df35787b39a36a94ff4a4aacd9,9.582222222222223,6,Collector
0x0000006f43b26ba724ae3ddb0c55536d64e5f985,0.044802631578947365,19,Flipper
0x000000faa7f2e923ab56195b1ba9973647b10000,1.6311111111111112,1,Swing Trader
0x000000faceff53eaaa8bafb76eab82fad96eb8e0,0.004710648148148148,1,Swing Trader
0x000001f568875f378bf6d170b790967fe429c81a,533.0429166666667,1,Collector
0x00000217d2795f1da57e392d2a5bc87125baa38d,0.001412037037037037,1,Swing Trader
0x0000553f880ffa3728b290e04e819053a3590000,0.0001388888888888889,1,Swing Trader
0x00007c3325b084b979b622ddf264bf9e45b8c2fd,203.00135416666666,1,Collector
0x0000db5c8b030ae20308ac975898e09741e70000,2.9780555555555552,3,Swing Trader
0x0001bb2a72173f3a1aaae96bd0ddb1f8be4f91b7,63.99355654761904,7,Collector
0x0003604d44e49e69368e4e696bf163e29a5c9e42,0.1555787037037037,1,Swing Trader
0x00080000158a9930aeb508823103b0a977161c47,142.2190625,1,Collector
0x00082d69b11771caba62cc549b64b9eda3115cc9,0.003472222222222222,1,Swing Trader
0x000afad8fe3d4c76f1bc4f95417dd85010589207,10.589733796296295,1,Collector
0x000dc1b1b5156f0ec31e21cd9ff6051670c47d23,60.73714988425925,4,Collector
0x001511d1cf99d0287f65945498d34e526cc40849,538.4606365740741,1,Collector
0x0015b091ba5d9b3a7a84b77bc33007b1f4700dc7,35.92981481481481,1,Collector
0x001aba7087f49a135ffb121a40684416824e9c34,40.996313657407406,8,Collector
0x001e3ab6c6e6de3d602c9c43ae29e3e3d395aae5,239.57486111111112,1,Collector
0x0028109b8b6ca54e7e1c372cfc2a68b7e477cd43,1041.598425925926,1,Collector
0x0028c84f5ef0e21e1da1267c806bf0a2b42dcb58,2.527222222222222,1,Swing Trader
0x002a5920e786596381dc318544ed77047f54d56a,8.757251157407406,2,Collector
0x002b05d19cb34a3336e9095c1de60248a12970dd,5.688148148148148,24,Swing Trader
0x002b3426b328fd3ca2ad91b49e08c7ac077a5eb5,7.222962962962963,3,Collector
0x002cfa1f84874a394fc06773aa18fa7d086a333b,405.84305555555557,1,Collector
0x00336cd9f823dd8b5c5741638e5038fd561f01b9,1.1623495370370371,1,Swing Trader
0x0034de1888dbc3b607be98f3df21bb715a54d3b3,0.8511342592592592,1,Swing Trader
0x0035fc5208ef989c28d47e552e92b0c507d2b318,58.39189814814815,1,Collector
0x0037e222bd8f047a453b9ed0b04067c95e56bcb3,26.27608217592593,4,Collector
0x0039d3d90f789b235237a51dc488159bda2961df,0.2137962962962963,1,Swing Trader
0x003a85c562730b196f7cba202a2515f2ff855736,1.877164351851852,1,Swing Trader
0x003baeee5975c044d99913feb507904111427a9c,0.9346296296296296,3,Flipper
